sample	read_technology	coverage	dataset	reference	aligner	preset	mapper_tag	configuration	statistics_file	cram_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	reads_mq0	reads_mq0_percent	mapq_mean	mapq_median	secondary_alignments	secondary_alignments_per_100_mapped_reads	supplementary_alignments	supplementary_alignments_per_100_mapped_reads	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertion_events	deletion_events	inserted_bases	deleted_bases	insertion_events_per_100kb	deletion_events_per_100kb	soft_clipped_bases	soft_clipped_percent	average_length	maximum_length	mean_coverage	median_coverage	breadth_1x_percent	breadth_10x_percent	breadth_20x_percent	breadth_30x_percent	runtime_seconds	peak_ram_mb	threads	aligner_version	samtools_version	aligner_docker_image	samtools_docker_image	metrics_complete	missing_metrics
HG003	PacBio	30x	HG003.pb.30x	hg38	VG Giraffe	vg-pb	vg-pb	vg-pb	cram/HG003.pb.30x.hg38.vg-pb.cram.stats	cram/HG003.pb.30x.hg38.vg-pb.cram	6621583	6602757	18826	99.715687	28591	0.433016	NA	NA	0	0	0	0	93293694245	93070386820	92386682869	99.76064	977409807	0.01058	1.057955	77525623	69743433	202077176	189799825	83.914284	75.490786	NA	NA	14089	49762	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	1k	HG004.ont.1k	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	cram/HG004.ont.1k.hg38.vacmap-ont.cram.stats	cram/HG004.ont.1k.hg38.vacmap-ont.cram	990	990	0	100	290	29.292929	30.129293	20.5	0	0	1749	176.666667	13601071	13601071	13460945	100	236006	0.017533	1.753265	24580	42706	36943	95496	182.602336	317.258558	NA	NA	13738	78490	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	minimap2	map-ont	mm2-ont	mm2-ont	samtools_stats_30x_Christian/HG004_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	NA	7046468	6741526	304942	95.672413	58199	0.863291	NA	NA	2005935	29.75491	442022	6.556705	93459874103	93244324332	92835949268	99.769367	2621022211	0.028233	2.823284	NA	NA	NA	NA	NA	NA	NA	NA	13263	1700750	NA	NA	NA	NA	NA	NA	8551.642	39037.952	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	pbmm2	SUBREAD	pbmm2-ont	pbmm2-ont	samtools_stats_30x_Christian/HG004_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	NA	7046468	6718367	328101	95.343752	52433	0.780443	NA	NA	0	0	513189	7.638597	93459874103	93162323710	92288524529	99.681628	2325377914	0.025197	2.519682	NA	NA	NA	NA	NA	NA	NA	NA	13263	1700750	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	cram/HG004.ont.30x.hg38.vacmap-ont.cram.stats	cram/HG004.ont.30x.hg38.vacmap-ont.cram	6630815	6630815	0	100	111031	1.67447	58.019726	60	0	0	3979871	60.020842	92775444750	92775444750	91682370246	100	1356167535	0.014792	1.479202	148141306	206070162	260149321	411639096	161.581017	224.765308	NA	NA	13992	1334475	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	VG Giraffe	vg-ont	vg-ont	vg-ont	cram/HG004.ont.30x.hg38.vg-ont.cram.stats	cram/HG004.ont.30x.hg38.vg-ont.cram	7046468	6616356	430112	93.896063	94928	1.434747	NA	NA	0	0	0	0	93459874103	89347659978	87357823095	95.600022	1782054868	0.020399	2.039949	135314123	178741299	330638578	442191919	154.8964	204.608234	NA	NA	13263	1700750	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	1k	HG004.pb.1k	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	cram/HG004.pb.1k.hg38.vacmap-pb.cram.stats	cram/HG004.pb.1k.hg38.vacmap-pb.cram	1000	1000	0	100	173	17.3	42.99	60	0	0	568	56.8	14370953	14370953	14340135	100	92412	0.006444	0.644429	11892	11576	17191	20923	82.92809	80.724484	NA	NA	14371	32998	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	minimap2	map-hifi	mm2-pb	mm2-pb	samtools_stats_30x_Christian/HG004_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	NA	6491546	6477717	13829	99.786969	9167	0.141516	NA	NA	1257655	19.415096	227070	3.505402	93684058210	93543426134	93484009557	99.849887	1192442444	0.012756	1.275558	77346513	71071516	173526310	170046945	82.737693	76.025318	NA	NA	14432	46029	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	samtools_stats_30x_Christian/HG004_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	NA	6491546	6489571	1975	99.969576	9274	0.142906	NA	NA	0	0	328462	5.061382	93684058210	93665424495	93277553639	99.98011	1057309585	0.011335	1.133509	77121743	71118305	173132353	167694362	82.679852	76.24375	NA	NA	14432	46029	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	cram/HG004.pb.30x.hg38.vacmap-pb.cram.stats	cram/HG004.pb.30x.hg38.vacmap-pb.cram	6465579	6465579	0	100	65151	1.007659	58.976365	60	0	0	2768002	42.811355	93391532444	93391532444	93234395565	100	595946684	0.006392	0.639192	76420235	71847081	113841627	129459951	81.965711	77.060703	NA	NA	14444	46029	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	VG Giraffe	vg-pb	vg-pb	vg-pb	cram/HG004.pb.30x.hg38.vg-pb.cram.stats	cram/HG004.pb.30x.hg38.vg-pb.cram	6491546	6474250	17296	99.733561	20138	0.311048	NA	NA	0	0	0	0	93684058210	93479245879	92825159183	99.78138	933595539	0.010058	1.005757	80757772	75230355	200119361	189770008	86.999875	81.045221	NA	NA	14431	46029	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
